id,user_id,role_id,action,resource,resource_scope,usage_count,unique_days_used,days_since_last_use,first_used,last_used,success_count,failure_count,success_rate,failure_rate,permission_status,operation_type,risk_level,risk_weight
1,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:DeleteItem,arn:aws:synthetic:dynamodb:123456789012:resource-1,*,2,2,21,2026-08-05 06:51:00+00:00,2026-08-25 21:38:00+00:00,1,1,0.5,0.5,EXCESSIVE,DELETE,HIGH,8
2,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:DeleteItem,arn:aws:synthetic:dynamodb:123456789012:resource-2,*,5,5,21,2026-08-01 06:59:00+00:00,2026-08-26 07:35:00+00:00,3,2,0.6,0.4,EXCESSIVE,DELETE,HIGH,8
3,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:DeleteItem,arn:aws:synthetic:dynamodb:123456789012:resource-3,*,3,3,11,2026-08-07 23:30:00+00:00,2026-09-04 20:22:00+00:00,2,1,0.6666666666666666,0.3333333333333333,EXCESSIVE,DELETE,HIGH,8
4,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:DeleteItem,arn:aws:synthetic:dynamodb:123456789012:resource-4,*,3,3,10,2026-08-15 23:09:00+00:00,2026-09-05 18:37:00+00:00,3,0,1.0,0.0,EXCESSIVE,DELETE,HIGH,8
5,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:DeleteItem,arn:aws:synthetic:dynamodb:123456789012:resource-5,*,3,2,25,2026-08-16 15:35:00+00:00,2026-08-22 08:48:00+00:00,2,1,0.6666666666666666,0.3333333333333333,EXCESSIVE,DELETE,HIGH,8
6,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:GetItem,arn:aws:synthetic:dynamodb:123456789012:resource-1,*,6,5,15,2026-08-09 16:13:00+00:00,2026-08-31 23:46:00+00:00,6,0,1.0,0.0,INTENDED,READ,LOW,2
7,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:GetItem,arn:aws:synthetic:dynamodb:123456789012:resource-2,*,10,8,11,2026-08-06 11:59:00+00:00,2026-09-04 12:57:00+00:00,9,1,0.9,0.1,INTENDED,READ,LOW,2
8,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:GetItem,arn:aws:synthetic:dynamodb:123456789012:resource-3,*,9,9,6,2026-08-04 21:57:00+00:00,2026-09-10 07:03:00+00:00,7,2,0.7777777777777778,0.2222222222222222,INTENDED,READ,LOW,2
9,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:GetItem,arn:aws:synthetic:dynamodb:123456789012:resource-4,*,5,4,8,2026-08-03 12:50:00+00:00,2026-09-08 03:59:00+00:00,4,1,0.8,0.2,INTENDED,READ,LOW,2
10,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:GetItem,arn:aws:synthetic:dynamodb:123456789012:resource-5,*,12,10,10,2026-08-01 08:24:00+00:00,2026-09-06 00:16:00+00:00,12,0,1.0,0.0,INTENDED,READ,LOW,2
11,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:PutItem,arn:aws:synthetic:dynamodb:123456789012:resource-1,*,9,8,8,2026-08-06 16:28:00+00:00,2026-09-08 11:26:00+00:00,8,1,0.8888888888888888,0.1111111111111111,INTENDED,WRITE,MEDIUM,5
12,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:PutItem,arn:aws:synthetic:dynamodb:123456789012:resource-2,*,5,5,14,2026-08-04 14:08:00+00:00,2026-09-02 06:36:00+00:00,5,0,1.0,0.0,INTENDED,WRITE,MEDIUM,5
13,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:PutItem,arn:aws:synthetic:dynamodb:123456789012:resource-3,*,12,11,10,2026-08-02 09:29:00+00:00,2026-09-05 14:43:00+00:00,12,0,1.0,0.0,INTENDED,WRITE,MEDIUM,5
14,synthetic-user-01,ApplicationDeveloper-Role,dynamodb:PutItem,arn:aws:synthetic:dynamodb:123456789012:resource-4,*,11,9,7,2026-08-04 04:32:00+00:00,2026-09-09 00:15:00+00:00,10,1,0.9090909090909091,0.09090909090909091,INTENDED,WRITE,MEDIUM,5
