row_id,user_id,split
1,synthetic-user-001,test
2,synthetic-user-001,test
3,synthetic-user-001,test
4,synthetic-user-001,test
5,synthetic-user-001,test
6,synthetic-user-001,test
7,synthetic-user-001,test
8,synthetic-user-001,test
9,synthetic-user-001,test
10,synthetic-user-001,test
11,synthetic-user-001,test
12,synthetic-user-001,test
13,synthetic-user-001,test
14,synthetic-user-001,test
15,synthetic-user-001,test
16,synthetic-user-001,test
17,synthetic-user-001,test
18,synthetic-user-001,test
19,synthetic-user-001,test
20,synthetic-user-001,test
21,synthetic-user-001,test
22,synthetic-user-001,test
23,synthetic-user-001,test
24,synthetic-user-001,test
25,synthetic-user-001,test
26,synthetic-user-001,test
27,synthetic-user-001,test
28,synthetic-user-001,test
29,synthetic-user-001,test
30,synthetic-user-001,test
31,synthetic-user-001,test
32,synthetic-user-001,test
33,synthetic-user-001,test
34,synthetic-user-001,test
35,synthetic-user-001,test
36,synthetic-user-001,test
37,synthetic-user-001,test
38,synthetic-user-001,test
39,synthetic-user-001,test
40,synthetic-user-001,test
41,synthetic-user-001,test
42,synthetic-user-001,test
43,synthetic-user-001,test
44,synthetic-user-001,test
45,synthetic-user-001,test
46,synthetic-user-001,test
47,synthetic-user-001,test
48,synthetic-user-001,test
49,synthetic-user-001,test
50,synthetic-user-001,test
51,synthetic-user-001,test
52,synthetic-user-001,test
53,synthetic-user-001,test
54,synthetic-user-001,test
55,synthetic-user-001,test
56,synthetic-user-001,test
57,synthetic-user-001,test
58,synthetic-user-001,test
59,synthetic-user-001,test
60,synthetic-user-001,test
61,synthetic-user-001,test
62,synthetic-user-001,test
63,synthetic-user-001,test
64,synthetic-user-001,test
65,synthetic-user-001,test
66,synthetic-user-001,test
67,synthetic-user-001,test
68,synthetic-user-001,test
69,synthetic-user-001,test
70,synthetic-user-001,test
71,synthetic-user-001,test
72,synthetic-user-001,test
73,synthetic-user-001,test
74,synthetic-user-001,test
75,synthetic-user-001,test
76,synthetic-user-001,test
77,synthetic-user-001,test
78,synthetic-user-001,test
79,synthetic-user-001,test
80,synthetic-user-001,test
81,synthetic-user-001,test
82,synthetic-user-001,test
83,synthetic-user-001,test
84,synthetic-user-001,test
85,synthetic-user-001,test
86,synthetic-user-001,test
87,synthetic-user-001,test
88,synthetic-user-001,test
89,synthetic-user-001,test
90,synthetic-user-001,test
91,synthetic-user-001,test
92,synthetic-user-001,test
93,synthetic-user-001,test
94,synthetic-user-001,test
95,synthetic-user-001,test
96,synthetic-user-001,test
97,synthetic-user-001,test
98,synthetic-user-001,test
99,synthetic-user-001,test
100,synthetic-user-001,test
101,synthetic-user-001,test
102,synthetic-user-001,test
103,synthetic-user-001,test
104,synthetic-user-001,test
105,synthetic-user-001,test
106,synthetic-user-001,test
107,synthetic-user-001,test
108,synthetic-user-001,test
109,synthetic-user-001,test
110,synthetic-user-001,test
111,synthetic-user-001,test
112,synthetic-user-001,test
113,synthetic-user-001,test
114,synthetic-user-001,test
115,synthetic-user-001,test
116,synthetic-user-001,test
117,synthetic-user-001,test
118,synthetic-user-001,test
119,synthetic-user-001,test
120,synthetic-user-001,test
121,synthetic-user-001,test
122,synthetic-user-001,test
123,synthetic-user-001,test
124,synthetic-user-001,test
125,synthetic-user-001,test
126,synthetic-user-001,test
127,synthetic-user-001,test
128,synthetic-user-001,test
129,synthetic-user-001,test
130,synthetic-user-001,test
131,synthetic-user-001,test
132,synthetic-user-001,test
133,synthetic-user-001,test
134,synthetic-user-001,test
135,synthetic-user-001,test
136,synthetic-user-001,test
137,synthetic-user-001,test
138,synthetic-user-001,test
139,synthetic-user-001,test
140,synthetic-user-001,test
141,synthetic-user-001,test
142,synthetic-user-001,test
143,synthetic-user-001,test
144,synthetic-user-001,test
145,synthetic-user-001,test
146,synthetic-user-001,test
147,synthetic-user-001,test
148,synthetic-user-001,test
149,synthetic-user-001,test
150,synthetic-user-001,test
151,synthetic-user-001,test
152,synthetic-user-001,test
153,synthetic-user-001,test
154,synthetic-user-001,test
155,synthetic-user-001,test
156,synthetic-user-001,test
157,synthetic-user-001,test
158,synthetic-user-001,test
159,synthetic-user-001,test
160,synthetic-user-001,test
161,synthetic-user-001,test
162,synthetic-user-001,test
163,synthetic-user-001,test
164,synthetic-user-001,test
165,synthetic-user-001,test
166,synthetic-user-001,test
167,synthetic-user-001,test
168,synthetic-user-001,test
169,synthetic-user-001,test
170,synthetic-user-001,test
171,synthetic-user-001,test
172,synthetic-user-001,test
173,synthetic-user-001,test
174,synthetic-user-001,test
175,synthetic-user-001,test
176,synthetic-user-001,test
177,synthetic-user-001,test
178,synthetic-user-001,test
179,synthetic-user-001,test
180,synthetic-user-001,test
181,synthetic-user-001,test
182,synthetic-user-001,test
183,synthetic-user-001,test
184,synthetic-user-001,test
185,synthetic-user-001,test
186,synthetic-user-001,test
187,synthetic-user-001,test
188,synthetic-user-001,test
189,synthetic-user-001,test
190,synthetic-user-001,test
191,synthetic-user-001,test
192,synthetic-user-001,test
193,synthetic-user-001,test
194,synthetic-user-001,test
195,synthetic-user-001,test
196,synthetic-user-001,test
197,synthetic-user-001,test
198,synthetic-user-001,test
199,synthetic-user-001,test
200,synthetic-user-001,test
201,synthetic-user-002,validation
202,synthetic-user-002,validation
203,synthetic-user-002,validation
204,synthetic-user-002,validation
205,synthetic-user-002,validation
206,synthetic-user-002,validation
207,synthetic-user-002,validation
208,synthetic-user-002,validation
209,synthetic-user-002,validation
210,synthetic-user-002,validation
211,synthetic-user-002,validation
212,synthetic-user-002,validation
213,synthetic-user-002,validation
